Model or Concept,Author/Source Document,Key Components,Target Language,Primary Function,Structural Levels,Source
Syllabo-tonic Versification,V. K. Trediakovsky; M. V. Lomonosov; M. L. Gasparov,"Alternation of stressed and unstressed syllables, metric feet (iamb, trochee, etc.), constant inter-ictic intervals","Russian, German, Czech",Measuring verse by fixed feet and alternating prominence; transition from syllabic to foot-based measurement,"Syllable, foot, hemistich, line, stanza","1, 2, 3, 4, 5"
Iambic Pentameter,W. Shakespeare; J. Milton; Hanson & Kiparsky; N. Gerber; S. Wolosky,"Ten syllables, five accented beats (wS pattern), resolution, stress distribution rules",English,Organizing lyrical material and defining the poetic line through a sustainable rhythmic mode,"Syllable, foot, line, quatrain, couplet","6, 7, 8, 9, 10, 11, 12-15"
Dolnik,M. L. Gasparov; M. Tarlinskaja; D. Attridge; S. M. Bondi; V. E. Kholshevnikov,"Variable inter-stress intervals (usually 1-2 syllables), anacrusis (0-2 syllables)","Russian, English, German",Categorizing transitional verse forms between strict syllabo-tonic and accentual verse,"Syllable, ictus, inter-ictic interval, line","16, 17, 2, 3, 18, 19, 20, 21, 22, 23, 24"
Syllabic Versification,Simeon Polotsky; A. A. Ilyushin; V. E. Kholshevnikov,"Isosyllabism (fixed syllable count), fixed caesura, rhyme","Polish, French, Old Russian, Church Slavonic",Organizing verse by equal syllable counts regardless of stress patterns,"Syllable, hemistich, line, clausula","1, 16, 6, 3, 8, 25, 26"
Pure Tonic (Accentual) Verse,M. L. Gasparov; A. Kh. Vostokov; I. A. Pilshchikov; B. Tomashevsky,"Constant number of stresses per line, wide fluctuations in inter-stress intervals (0-8 syllables)","Russian, English, German, Hebrew, Yiddish",Rhythmic regulation based solely on stress count per line/stanza,"Verse line, stress, stanza, metro-forming period","16, 17, 3, 8, 27, 25, 28, 23"
Autosegmental-Metrical (AM) theory,Amalia Arvaniti; Janet Fletcher,"L and H tones, pitch accents, edge tones, metrical structure","English, Greek, German, Catalan, Arabic, Dutch, others",Modeling the phonological representation of intonation and its phonetic implementation,"Phonological utterance, IP, ip, AP, prosodic word, foot, syllable, mora",29
Generative Metrics,M. Halle; N. Fabb; S. J. Keyser; P. Kiparsky; B. Hayes,"Metrical grids, iterative rules, stress-maximum principle, correspondence rules","English, Russian, Spanish, German, Finnish",Establishing explicit conditions for metrical well-formedness and membership in verse sets,"Syllable, grid level, foot, line","1, 30, 6, 31, 32, 33, 19, 34, 35, 12-14, 36, 37, 38"
Sprung Rhythm,Gerard Manley Hopkins; D. Attridge; P. Kiparsky,"One stress per foot (lead stress), variable slack syllables, outrides, heavy stresses",English,Reflecting individual spiritual significance and dynamic speech qualities through rhythmic intensity,"Syllable, stress group, foot, line","8, 39, 40, 41, 10, 11, 42, 43, 44"
Metrical Phonology / Hierarchical Model,M. Liberman; A. Prince,"Strong (S) and Weak (W) positions, metrical trees/grids, hierarchical nodes",English,Defining stress as a phonological process relating strong and weak positions,"Syllable, foot, word, phonological phrase","1, 45, 46, 47"
Quantitative Metrics,Ancient Greek/Latin authors; K. Shapiro; R. Beum,"Syllable weight (long/short), mora, caesura, duration","Ancient Greek, Latin",Structuring verse based on the duration (quantity) of syllables,"Mora, syllable, foot, colon, line","1, 6, 5, 48"
