Poetic Category,Metric/Form Identifier,Description and Findings,Usage Trends and Oeuvre Patterns,Metrical Divergences and Methodology,Themes and Notable Citations,Source
Meter,Iambic Pentameter,"A 10-syllable line of 5 rising feet ( $w S$ ). It is the dominant long line in English and Italian (Endecasillabo) traditions. It takes approx. 3.3s to recite, fitting the ""human auditory present.""","The staple of English poetry since the 15th century (Shakespeare, Milton, Pope, Wordsworth, Frost). In Russia, it gained ground in the mid-19th century for drama and philosophical lyrics (Pushkin, Tyutchev).","Common divergences include initial trochaic inversion, pyrrhic/spondaic substitution, and feminine (tailed) endings. Methodology involves ""Stress Maximum"" rules (Halle-Keyser), nPVI contrast analysis, and ""Anatomical"" scansion (Bones/Joints/Muscle).","Associated with high-style narrative, drama, and meditation. Citations: Shakespeare, Sonnet 106 (""Of hand, of foot, of lip, of eye, of brow""); Milton,  Paradise Lost ; Dante,  Inferno  (""Nel mezzo del cammin..."").",1-49
Meter,Iambic Tetrameter,"A 4-foot binary meter ( $w S$ ). In Russian, it is the most historically prominent meter (Ya4), serving as a ""national form"" distinct from English/German versions due to frequent stress skipping.","The dominant meter of the Russian 18th-19th centuries (Pushkin, Lomonosov). Pushkin's  Eugene Onegin  established the standard. In English, it is often seen as ""tighter"" or associated with folk ditty and burlesque (Marvell, Housman).","Features ""pyrrhic"" substitutions (skipped stresses), especially on the 2nd and 3rd feet in Russian. Methodology leverages Taranovsky's law of regressive accentual dissimilation and statistical ""stressing profiles.""","Often ""neutral"" or used for realistic narrative and melancholy love. Citations: Pushkin,  Eugene Onegin ; Lomonosov,  Oda na vzjatie Xotina ; Byron, ""She walks in beauty.""","2, 6, 50-70"
Meter,Trochaic Tetrameter,"A 4-foot falling meter ( $S w$ ). It is characterized by high rhythmic energy and a ""jigging"" or incantatory quality.","Globally tied to song genres, folk-style imitations, and children's rhymes (Longfellow, Blake). In Russia, it is a staple for fairy tales (Pushkin, Ershov) and was the national meter of Estonia.","Frequently ""catalectic"" (missing the final slack syllable). Methodology tracks the ""profile of stress"" and utilizes nPVI to calculate rhythmic contrast.","Themes of nature, folklore, and ""energy/vitality."" Citations: Blake, ""The Tyger"" (""Tyger! Tyger! burning bright""); Longfellow,  Hiawatha ; Pushkin, ""The storm covers the sky.""","3, 7, 10, 12, 14-16, 19, 42, 53, 57, 58, 61, 66, 71-75"
Meter,Dolnik,A non-classical meter with variable inter-ictic intervals (usually 1–2 syllables). It occupies a middle ground between syllabo-tonics and pure accentual (tonic) verse.,"Dominant in Russian 20th-century poetry (Blok, Akhmatova, Gumilev, Brodsky). Derived from German tonic verse (Heine). In English, it is found in popular ballads and nursery rhymes (Frost, Blake).","Features ""quasi-caesuras"" and variable anacrusis. Methodology: ""Russian Method"" (statistical profiles of stress) and automated recognition using systems like ""Treeton.""","Associated with lyrical, intimate, or supernatural themes. Citations: Blok, ""I enter dark temples...""; Frost, ""The Road Not Taken""; Heine, ""Ein Fichtenbaum steht einsam.""","1, 3, 16, 26, 29, 31, 44, 52, 55, 64, 65, 76-92"
Meter,Dactylic Hexameter,"An ancient 6-foot meter of dactyls (— ⌣ ⌣) and spondees (— —). Traditionally the ""epic"" meter of Greek and Latin antiquity.","Standard for epic/philosophical poetry (Homer, Virgil). Adapted into German (Klopstock, Goethe) and Russian (Trediakovsky, Fet). Rare in English (Longfellow).","Methodology involves quantitative-syllabic scansion (long/short equivalencies). Often features a ""penthemimeral"" caesura and ""bucolic diaeresis.""","Themes of heroism, antiquity, and the sublime. Citations: Homer,  Iliad ; Virgil,  Aeneid ; Klopstock,  Messiah ; Longfellow,  Evangeline .","6, 7, 10, 29, 30, 76, 83, 93-102"
Form,Sonnet,A 14-line fixed form typically in iambic pentameter. Major variants include Italian (Petrarchan: 8+6) and English (Shakespearean: 4+4+4+2).,"Astonishing longevity (700 years). Historically associated with love, but adapted for social critique and philosophical meditation. Prominent in Russian Silver Age (Ivanov, Hodasevich).","Structured around the ""turn"" or  volta . Methodology tracks rhyme schemes (e.g.,  $abbaabba$  vs.  $ababcdcdefefgg$ ) and utilizes dependency parses for enjambment study.","Themes of unrequited love, time, and mortality. Citations: Shakespeare, Sonnet 18; Keats, ""On First Looking into Chapman's Homer""; Milton, ""When I consider how my light is spent.""","2, 3, 7, 8, 10, 12, 15-17, 19, 23, 24, 27, 29, 30, 36, 38, 40, 41, 44, 45, 51, 55, 71, 92, 93, 97, 98, 101-118"
Form,Alexandrine,A 12-syllable line (dodecasyllable) with a mandatory central caesura. The primary meter of French Classicism and the German Baroque.,Usage declined in Russia from 16% in the 18th century to nearly vanishing in the Soviet era. Revived in modernism for archaic stylization (Grünbein).,"In French, requires stress on the 6th/12th syllables. Methodology involves calculating distribution of masculine/dactylic endings at the caesura.","Associated with formal grandeur and courtly erudition. Citations: Racine,  Phèdre ; Hugo, ""Je suis banni!""; Ronsard; Boileau.","10, 29, 47, 55, 57, 76, 94, 119-126"
Form,Free Verse (Vers Libre),"Verse characterized by the absence of regular meter and rhyme, relying on syntactic phrasing, intonation, and line breaks for integrity.","Became the staple form in the 20th century (Whitman, Pound, Eliot, Williams). In Russia, it increased significantly from the 1960s (Kuzmin, Khlebnikov).","Methodology focuses on ""line-syntax,"" ""prolongation,"" and ""rhythmical isolation."" Analyzed via ""Phrasal Scansion"" and dependency grammar.","Mimics internal monologue or ""stream of consciousness."" Citations: Whitman,  Leaves of Grass ; Pound, ""In a Station of the Metro""; Eliot,  The Waste Land .","3, 9, 15, 24, 36, 47, 50, 70, 85, 114, 115, 127-134"
Meter,Accentual Verse,"A tonic system where only the number of stresses (accents) is regulated, regardless of syllable count. Native to Old English poetry.","Prominent in folk poetry, nursery rhymes, and modern works by Mayakovsky (e.g., 4-stress accented verse) and T.S. Eliot.","Methodology involves counting beats and identifying ""silent beats"" or musical rests in performance. Includes ""Stress-timed"" rhythm analysis.","Associated with ritualistic, ""unconscious,"" or choral effects. Citations:  Beowulf ; Langland,  Piers Plowman ; Mayakovsky, ""Chetyre. Tyazhelye, kak udar.""","2, 4, 5, 15, 16, 19, 32, 39, 50, 65, 77, 85, 89, 132, 135, 136"
Meter,"Ternary Meters (Anapest, Amphibrach, Dactyl)",Meters where stresses occur every three syllables. Generally noted for higher rhythmic regularity compared to binary meters.,"Amphibrachs are historically linked to the ballad genre in Russia (Nekrasov, Zhukovsky). Anapests are associated with speed, joy, or ""social suffering.""",Methodology tracks the probability of stress distribution and word-boundary (caesura) placement. Omissions of stress are rarer than in iambs.,"Citations: Nekrasov,  Frost, Red Nose ; Byron, ""Destruction of Sennacherib""; Mandelstam, ""For the rattling valor..."".","2, 6, 10, 12, 15, 16, 19, 27, 28, 50, 51, 53, 55, 57-60, 62, 71, 77, 79, 81, 82, 84, 93, 98, 100, 103-105, 110, 127, 137-145"
